ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
男性の悪役	男性の悪役 🦹‍♂️
きゃべつ	きゃべつ 🥬
葉	葉 ☘️ 🌿 🍀 🍁 🍂 🍃
まま	まま 👩‍🍼
がっしょう	がっしょう 🙏
かなだ	かなだ 🇨🇦
あんごら	あんごら 🇦🇴
でんき	でんき ⚡️ 🔌
おてあげするおんな	おてあげするおんな 🤷‍♀️
ぎにあ	ぎにあ 🇬🇳
ものくるをつけたかお	ものくるをつけたかお 🧐
荒波	荒波 🌊
黄ハート	黄ハート 💛
安心	安心 😌 😮‍💨
メッカ	メッカ 🕋
ぜつめつ	ぜつめつ 🦣 🦤
たまれす	たまれす 🫔
嘘つき	嘘つき 🤥
つるはし	つるはし ⚒️ ⚒️ ⛏️ ⛏️
しゅうしんちゅう	しゅうしんちゅう 💤 🛌
熱中症	熱中症 🥵
ぱきすたん	ぱきすたん 🇵🇰
イタリア国旗	イタリア国旗 🇮🇹
自撮り	自撮り 🤳
ピエロ	ピエロ 🤡
でんち	でんち 🔋
笑えない	笑えない 😐️
紅茶	紅茶 ☕️
むしば	むしば 🍬 🪥
赤い箱	赤い箱 🧰
ぴかぴか（新しい）	ぴかぴか（新しい） ✨️
いーめーる	いーめーる ✉️ 📤️ 📥️ 📧 📨 📩
ふじみ	ふじみ 🧛
だいあ	だいあ ♦️ 💍 💎 💠 🔶 🔷 🔸 🔹
ab	ab 🆎
魔女	魔女 🧙 🧙‍♀️ 🧹
でんわ	でんわ ☎️ 📞 📠 📲 🤙
フラッシュを焚いているカメラ	フラッシュを焚いているカメラ 📸
くえすちょんまーく	くえすちょんまーく ❓️ ❔️
でんぱ	でんぱ 📡 📶 🛜
天狗	天狗 👺
じんばぶえ	じんばぶえ 🇿🇼
だいく	だいく 🪚
れいはい	れいはい 🛐
ソファとランプ	ソファとランプ 🛋️
うさみみ	うさみみ 👯 👯‍♀️ 👯‍♂️
ひんどぅーきょう	ひんどぅーきょう 🕉️ 🪷
べりーず	べりーず 🇧🇿
ノット	ノット 🪢
どみにかきょうわこく	どみにかきょうわこく 🇩🇴
こおり	こおり 🍧 🧊
だいす	だいす 🎲
だいず	だいず 🫛
たきしーど	たきしーど 🤵 🤵‍♀️ 🤵‍♂️
キック	キック 🦵 🦶
はーどとう・まくどなるどしょとう	はーどとう・まくどなるどしょとう 🇭🇲
はんがりー	はんがりー 🇭🇺
exclamation&question	exclamation&question ⁉️
だいや	だいや ♦️ 💍 💎 💠 🔶 🔷 🔸 🔹
ぴっくあっぷとらっく	ぴっくあっぷとらっく 🛻
てがみあり	てがみあり 📫️ 📬️
ピノキオの顔	ピノキオの顔 🤥
手を上げる	手を上げる 🙌
いえ	いえ 🏘️ 🏚️ 🏠️ 🏡 🛖
キッズ	キッズ 🧒
くせ毛	くせ毛 🦱
てをたたく	てをたたく 👏
いか	いか 🦑
顔１	顔１ 👦
ゆーろさつ	ゆーろさつ 💶
大丸１	大丸１ 🔴
めきしこ	めきしこ 🇲🇽 🪅
米	米 🌾 🍙 🍚
大丸２	大丸２ 🔵
いぎ	いぎ 🪧
話す	話す 🗣️
うお座	うお座 ♓️ 🐟️
寒暖計	寒暖計 🌡️
はちゅうるい	はちゅうるい 🐊 🐍 🐢 🦎
ぬいぐるみ	ぬいぐるみ 🧸 🧸
神話	神話 🐦‍🔥 🧚 🧝 🧞 🪽
てんたい	てんたい 🪐
さっかーぼーる	さっかーぼーる ⚽️
飛行	飛行 🪽
矢印左右	矢印左右 ↔️
いし	いし 👨‍⚕️ 👩‍⚕️ 😷 🧑‍⚕️ 🪨
キューピッド	キューピッド 💘 🪉
いす	いす 💺 💺 🦼 🦽 🪑
正月	正月 🎍
しょーつ	しょーつ 🩳
ヒーロー	ヒーロー 🦸 🦸‍♀️ 🦸‍♂️
カクテルグラス	カクテルグラス 🍸️
粥	粥 🥣
いた	いた 🎿
おとこのえるふ	おとこのえるふ 🧝‍♂️
さむい	さむい 😰 🧣 🧥
いも	いも 🍠 🥔
びでおかめら	びでおかめら 📹️
サソリ	サソリ 🦂
おんなのぼうし	おんなのぼうし 👒
いと	いと 🧵 🪡
みりあむ	みりあむ 🪬
プラカード	プラカード 🪧
山登り	山登り 🧗 🧗‍♀️ 🧗‍♂️
いぬ	いぬ 🐕️ 🐕‍🦺 🐩 🐶 🐶 🐾 🦮 🦴
cl	cl 🆑
いね	いね 🌾
フォーク	フォーク 🍴 🍽️
さむけ	さむけ 😓 😓
いわ	いわ 🪨
さむさ	さむさ 🥶
右上	右上 ↗️
右下	右下 ↘️
元素	元素 ⚛️
ＦＡＸ	ＦＡＸ 📠 📠
円札	円札 💴
進化	進化 🧬
きゃびねっと	きゃびねっと 🗄️
ぺぱろに	ぺぱろに 🍕
きいろ	きいろ 💛 🟡 🟨
バブルティー	バブルティー 🧋
とんぼかえり	とんぼかえり 🤸 🤸‍♀️ 🤸‍♂️
手荷物預かり	手荷物預かり 🛅
女の妖精	女の妖精 🧚‍♀️
ぴんくいろ	ぴんくいろ 🦩
えくあどる	えくあどる 🇪🇨
鳥の卵と巣	鳥の卵と巣 🪺
いびき	いびき 💤 💤
うける	うける 🫴
社外秘	社外秘 ㊙️
にゅうぎゅう	にゅうぎゅう 🐄
じょせいのきょうし	じょせいのきょうし 👩‍🏫
担任	担任 🧑‍🏫
うえやじるし	うえやじるし ⤴️ ⬆️
卒業	卒業 🎓️ 👨‍🎓 👩‍🎓 🧑‍🎓
紅葉	紅葉 🍁
f1	f1 🏎️
硬貨	硬貨 🪙
糸	糸 🧵 🪡
ちょうせい	ちょうせい 🎛️
りはつてん	りはつてん 💈
紙	紙 📜
鼻息	鼻息 😤
みみのふじゆうなひと	みみのふじゆうなひと 🧏
吹き出し左	吹き出し左 🗨️
だんしがくせい	だんしがくせい 👨‍🎓
車（ＲＶ）	車（ＲＶ） 🚙
みくろんとう	みくろんとう 🇵🇲
サングラスで笑顔	サングラスで笑顔 😎
めろめろ	めろめろ 🥰
がっしゅうこくりょうゆうしょうりとう	がっしゅうこくりょうゆうしょうりとう 🇺🇲
紫	紫 💜 🟣 🟪
くろわくしかく	くろわくしかく 🔲
パチパチ	パチパチ 👏
どらむすてぃっく	どらむすてぃっく 🥁
英領ヴァージン諸島	英領ヴァージン諸島 🇻🇬
くろまる	くろまる ⚫️
Eメール	Eメール ✉️ 📤️ 📥️ 📧 📨 📩
あたり	あたり 🎯
ジュエリー	ジュエリー 💍 💎
eu	eu 🇪🇺
さそりざ	さそりざ ♏️ 🦂
いー	いー 😬 😬
さんかくじょうぎ	さんかくじょうぎ 📐
甘い	甘い 🍯 😛
ほし	ほし ☪️ ✡️ ✨️ ✳️ ✴️ ⭐️ 🌃 🌟 🌠 💫 🔯 🤩 🪐
送信	送信 📤️ 📩
おーらんどしょとう	おーらんどしょとう 🇦🇽
薬	薬 🏥 💉 💊 🩹
たいまー	たいまー ⌛️ ⏲️ ⏳️
くすり	くすり 🏥 💉 💊 💊 🩹
はんとけいまわり	はんとけいまわり 🔄
女のゾンビ	女のゾンビ 🧟‍♀️
しんごうき	しんごうき 🚥 🚦
鍵（解除）	鍵（解除） 🔓️
あたま	あたま 🧠
キンポウゲ	キンポウゲ 🌼
和食	和食 🍙
忍術	忍術 🥷
絵	絵 🎨 🖼️
ほっ	ほっ ☺️ ☺️ 😌 😌
調整	調整 🎛️
きゅうめいふかん	きゅうめいふかん 🛟
かーぼべるで	かーぼべるで 🇨🇻
ジュース	ジュース 🥤 🧃
いいきぶん	いいきぶん ♨️
ザンビア	ザンビア 🇿🇲
乳製品	乳製品 🧈
ほる	ほる 🤾 🤾‍♀️ 🪏
みどりのはーと	みどりのはーと 💚
コンゴ共和国(ブラザビル)	コンゴ共和国(ブラザビル) 🇨🇬
ほね	ほね ☠️ 🍖 🍗 🦴 🩻
こうよう	こうよう 🍁
おれんじのしかく	おれんじのしかく 🟧
ほん	ほん 📔 📕 📖 📗 📘 📙 📚️
トランスジェンダー	トランスジェンダー 🌈 🏳️‍⚧️ 🏳️‍🌈
魚座	魚座 ♓️
いっこだて	いっこだて 🏠️ 🏡
ちらっ	ちらっ 🫣 🫣
三角	三角 🔺 🔻
パイン	パイン 🍍
緑	緑 🍋‍🟩 💚 🟢 🟩 🪴
電動車椅子の男性	電動車椅子の男性 👨‍🦼 👨‍🦼‍➡️
綱	綱 🪢
散髪される人	散髪される人 💇
ぶらいとねす	ぶらいとねす 🔅 🔆
建物	建物 ⛩️ ⛪️ 🏚️ 🏠️ 🏡 🏢 🏣 🏤 🏥 🏦 🏨 🏩 🏪 🏫 🏬 🏭️ 🏯 🏰 💒 🕋 🕌 🕍 🛕
天気	天気 ☀️ ☁️ ☂️ ☔️ ⛅️ ⛈️ ❄️ 🌀 🌂 🌈 🌊 🌡️ 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️ 🌪️ 🌫️
雫（涙・汗）	雫（涙・汗） 💧
ばぶる	ばぶる 🫧
かくてる	かくてる 🍸️ 🍹
キャリーケース	キャリーケース 🧳
ぴかぴか	ぴかぴか ✨️ ✨️
ふきだしひだり	ふきだしひだり 🗨️
しょくぶつ	しょくぶつ ☘️ 🌵 🌷 🌸 🌹 🌺 🌼 🍀 🏵️ 💐 🪴 🪻
とるくめにすたん	とるくめにすたん 🇹🇲
イヤホン	イヤホン 🎧️
抗議	抗議 🪧
チェリー	チェリー 🍒
水晶	水晶 🔮
指紋	指紋 🫆
虎	虎 🐅 🐯
着陸	着陸 🛬
むごん	むごん 😶
ばーすでー	ばーすでー 🎂
ようもう	ようもう 🐑 🦙
男性のマーク	男性のマーク ♂️
はくい	はくい 🥼
芸術家	芸術家 👨‍🎨 👩‍🎨 🧑‍🎨
ごしゅうぎ	ごしゅうぎ 🧧
メダル	メダル 🎖️ 🏅 🥇 🥈 🥉
縞	縞 🦓
サービス	サービス 🐕‍🦺
しんこう	しんこう 🪯
はんどぼーるをするひと	はんどぼーるをするひと 🤾
じゃぐりんぐをするおとこ	じゃぐりんぐをするおとこ 🤹‍♂️
蚊	蚊 🦟
きんぱつ	きんぱつ 👩 👩‍🦰 👩‍🦱 👩‍🦲 👩‍🦳 👱 👱‍♀️ 👱‍♂️ 👵
ぽりばけつ	ぽりばけつ 🪣
雪の結晶	雪の結晶 ❄️
虫	虫 🐌 🐛 🐜 🐝 🐞 🕷️ 🦂 🦋 🦗 🦟 🪰 🪱 🪲 🪳
id	id 🆔 🪪
王冠	王冠 👑
エクササイズ	エクササイズ 🙆
ボウリング	ボウリング 🎳
とけいまわり	とけいまわり 🔁 🔂 🔃
建設作業員	建設作業員 👷
黄色	黄色 💛 🟡 🟨
ふぁっくす	ふぁっくす 📠
疑い	疑い 🤨
バスケットボールをする男	バスケットボールをする男 ⛹️‍♂️
ばいそく	ばいそく ⏩️ ⏪️
十字架	十字架 ☦️ ⛪️ ✝️
虹	虹 🌈
CLマーク	CLマーク 🆑
すーぱー	すーぱー 🛒
ぼーと	ぼーと ⛵️ 🚣 🚣‍♀️ 🚤 🛥️ 🛶
徳利	徳利 🍶
ぼーど	ぼーど 🛹
ぼーる	ぼーる ⚽️ ⚾️ 🎱 🎳 🎾 🏀 🏈 🏉 🏏 🏐 🏑 🏓 🤾 🤾‍♀️ 🥍 🥎
じぇすちゃー	じぇすちゃー 💁 💁‍♀️ 💁‍♂️ 🙅 🙅‍♀️ 🙅‍♂️ 🙆 🙆‍♀️ 🙆‍♂️ 🙇 🙋 🙌 🙏 🤌 🤦 🤦‍♀️ 🤦‍♂️ 🤷 🤷‍♀️ 🤷‍♂️
ぺとりさら	ぺとりさら 🧫
せいようのゆうびんきょく	せいようのゆうびんきょく 🏤
てんとう虫	てんとう虫 🐞
戻る	戻る ⏪️ ◀️ 🔙
しょうか	しょうか 🧯
しょうが	しょうが 🫚
挙げたこぶし	挙げたこぶし ✊️
ばーがー	ばーがー 🍔
ごはん	ごはん 🍚 🍚
soon	soon 🔜 🔜
シマウマ	シマウマ 🦓
ほうせき	ほうせき 💎
しょうご	しょうご 🕛️
目がハート（ネコ）	目がハート（ネコ） 😻
はきそう	はきそう 🤢
ばいそん	ばいそん 🦬
つるぎ	つるぎ ⚔️ ⚔️
つなぐ	つなぐ 🧑‍🤝‍🧑 🧑‍🤝‍🧑
蜂	蜂 🐝
むっとしているひと	むっとしているひと 🙍
小丸2	小丸2 ⚫️
しかめつら	しかめつら ☹️ 😕 😦 😬 🙁
とりゅふ	とりゅふ 🍄‍🟫
しょうり	しょうり 🏁
れそと	れそと 🇱🇸
ゆうびんきょく	ゆうびんきょく 🏣
いっかくじゅう	いっかくじゅう 🦄
紳士靴	紳士靴 👞
じゃぐらー	じゃぐらー 🤹 🤹‍♀️ 🤹‍♂️
女性のマーク	女性のマーク ♀️
めいしほるだー	めいしほるだー 📇
きゃっしゅかーど	きゃっしゅかーど 💳️
じょせいけいさつかん	じょせいけいさつかん 👮‍♀️
はてなマーク（アニメ）	はてなマーク（アニメ） ❔️
「！！」	「！！」 ‼️
どーん	どーん 🎆 🎆
ろーらーすけーと	ろーらーすけーと 🛼
星座（双子座）	星座（双子座） ♊️
くろあちあ	くろあちあ 🇭🇷
羽が生えたお金	羽が生えたお金 💸
とうもろこし	とうもろこし 🌽 🌽
クリスマスイブ	クリスマスイブ 🎄
あるくおとこ	あるくおとこ 🚶‍♂️ 🚶‍♂️‍➡️
かんがっき	かんがっき 🪈
雨粒	雨粒 ☔️
ゔぁーさす	ゔぁーさす 🆚
飛び立つ	飛び立つ 🪽
ないふとふぉーく	ないふとふぉーく 🍴
じゃぐりんぐをするひと	じゃぐりんぐをするひと 🤹
得意気	得意気 😤
馬の顔	馬の顔 🐴
無言	無言 😶
有（有料）	有（有料） 🈶
はてなまーく	はてなまーく ⁉️ ❓️ ❔️
ぷれぜんと	ぷれぜんと 🎁
中華人民共和国香港特別行政区	中華人民共和国香港特別行政区 🇭🇰
すい星	すい星 ☄️
紙パック飲料	紙パック飲料 🧃
モヤイ	モヤイ 🗿
止まれの標識	止まれの標識 🛑
あぜるばいじゃん	あぜるばいじゃん 🇦🇿
矢印（右斜め下）	矢印（右斜め下） ↘️
すいえい	すいえい 🏊️ 🏊‍♀️ 🏊‍♂️ 🤽 🤽‍♀️ 🤽‍♂️ 🥽
えむおー	えむおー 💽
ほえー（ネコ）	ほえー（ネコ） 🙀
すうぇーでん	すうぇーでん 🇸🇪
まいたい	まいたい 🍹
だんせいのこっく	だんせいのこっく 👨‍🍳
わのあるわくせい	わのあるわくせい 🪐
ウォリス・フツナ	ウォリス・フツナ 🇼🇫
顔のある風	顔のある風 🌬️
ちゅにじあ	ちゅにじあ 🇹🇳
すけぼー	すけぼー 🛹
ちょうじん	ちょうじん 🦸 🦸‍♀️ 🦸‍♂️ 🦹‍♀️ 🦹‍♂️
ばすけっとぼーる	ばすけっとぼーる ⛹️ ⛹️‍♀️ ⛹️‍♂️ 🏀
蝶	蝶 🦋
缶	缶 🥫
再利用	再利用 ♻️
ブロードバンド	ブロードバンド 🛜
丸い新幹線	丸い新幹線 🚅
ちぇっくぼっくす	ちぇっくぼっくす ☑️
タバコ	タバコ 🚬 🚭️
補聴器を付けた耳	補聴器を付けた耳 🦻
パンプス	パンプス 👠
ねんど	ねんど 🧱
いきぎれ	いきぎれ 😮‍💨
じょせいのさんた	じょせいのさんた 🤶
へり	へり 🚁
あめふと	あめふと 🏈
羊	羊 🐏 🐑
ひな祭り	ひな祭り 🎎
こうつう	こうつう 🚥 🚦
ng	ng 🆖 👎️ 🙅 🙅‍♀️ 🙅‍♂️
オレンジの丸	オレンジの丸 🟠
ていし	ていし ⏹️
へび	へび 🐍 🐍
ピアノ	ピアノ 🎹
砂糖	砂糖 🧁
コック	コック 👨‍🍳 👩‍🍳 🧑‍🍳
だんせいぱいろっと	だんせいぱいろっと 👨‍✈️
おれせんぐらふ	おれせんぐらふ 📈 📉
コップ	コップ 🥛 🥤
みかん	みかん 🍊 🍊
あんぎら	あんぎら 🇦🇮
ちょこれーと	ちょこれーと 🍫
男性の探偵	男性の探偵 🕵️‍♂️
でんわのあいず	でんわのあいず 🤙
海賊旗	海賊旗 🏴‍☠️
電子メール	電子メール ✉️ 📤️ 📥️ 📧 📨 📩
雷雨	雷雨 ⛈️
ふぁいあー	ふぁいあー 🔥
らてんじゅうじ	らてんじゅうじ ✝️
さんばるてるみー	さんばるてるみー 🇧🇱
さらりーまん	さらりーまん 👨‍💼 👩‍💼 🧑‍💼
コアラ	コアラ 🐨
雷雲	雷雲 ⛈️ 🌩️
ok	ok 🆗 👌 👍️ 🙆 🙆‍♀️ 🙆‍♂️
てんぽうりん	てんぽうりん ☸️
ゴルフ	ゴルフ ⛳️ 🏌️ 🏌️‍♀️ 🏌️‍♂️ 🚩
on	on 🔛 🔛
せいじん	せいじん 🧑 🧑‍🦰 🧑‍🦱 🧑‍🦲 🧑‍🦳
うえにむけたて	うえにむけたて 🫴
ベトナム	ベトナム 🇻🇳
羽	羽 🪶 🪽
血	血 🧛
手（オッケー）	手（オッケー） 👌
ハイタッチ	ハイタッチ 🙏 🫷 🫸
イベント	イベント 🎪
あかちゃ	あかちゃ 🦰
ねっちゅうしょう	ねっちゅうしょう 🥵
自転車禁止	自転車禁止 🚳
顔４（つかれたカオ）	顔４（つかれたカオ） 😫
指（指定）	指（指定） 🈯️
pc	pc ⌨️ 💻️ 🖥️ 🖱️ 🖲️
厳禁	厳禁 🈲
シンガポール	シンガポール 🇸🇬
にっこりきす	にっこりきす 😙
ぺたんこくつ	ぺたんこくつ 🥿
ハート（緑）	ハート（緑） 💚
こいぬ	こいぬ 🐶
街	街 🏘️
著作権マーク	著作権マーク ©️
ちょさくけん	ちょさくけん ©️
へー	へー 😮 😮
天使の輪	天使の輪 😇
こいん	こいん 🪙
翼	翼 🪽
パニック	パニック 🫨
魔法の杖	魔法の杖 🪄
ぼうぐ	ぼうぐ 🛡️
泣いている猫	泣いている猫 😿
Roldex	Roldex 📇
映画（かちんこ）	映画（かちんこ） 🎬️
チャンピオン	チャンピオン 🏆️
女性と女性でキス	女性と女性でキス 👩‍❤️‍💋‍👩
環のある惑星	環のある惑星 🪐
役者	役者 🎭️
ぼうし	ぼうし ⛑️ 🎓️ 🎩 👒 👳 🤠 🥳 🧑‍🎄 🧢
なみだをこらえたかお	なみだをこらえたかお 🥹
散髪される女	散髪される女 💇‍♀️
ぼうず	ぼうず 🦲
ろーるぷれい	ろーるぷれい 🧙
けいまんしょとう	けいまんしょとう 🇰🇾
許可	許可 🉑
腹ぺこ	腹ぺこ 😋 😩
セントクリストファー・ネーヴィス	セントクリストファー・ネーヴィス 🇰🇳
うまのかお	うまのかお 🐴
ぐろーぶ	ぐろーぶ 🥊
マンガ	マンガ 💡 💢 💤 💥 💨 💬 💭
こーとじぼわーる	こーとじぼわーる 🇨🇮
すかる	すかる ☠️ 💀
たつひと	たつひと 🧍
あかみにく	あかみにく 🥩
アフロコーム	アフロコーム 🪮
すいみん	すいみん 🛏️
レベル	レベル 🎚️
虹色の旗	虹色の旗 🏳️‍🌈
軌道	軌道 🛤️
ふきげんなおとこ	ふきげんなおとこ 🙎‍♂️
とれーどまーく	とれーどまーく ™️
とらいあすろん	とらいあすろん 🏊️
刺す	刺す 🦟 🪼
せきめん	せきめん 😳
じんじゃ	じんじゃ ⛩️
ひめくりかれんだー	ひめくりかれんだー 📆
無人島	無人島 🏝️
等号	等号 🟰
ト音記号	ト音記号 🎼
車いす	車いす 👨‍🦼 👨‍🦼‍➡️ 👨‍🦽 👨‍🦽‍➡️ 👩‍🦼 👩‍🦼‍➡️ 👩‍🦽 👩‍🦽‍➡️ 🧑‍🦼 🧑‍🦼‍➡️ 🧑‍🦽 🧑‍🦽‍➡️
ダメのポーズをする人	ダメのポーズをする人 🙅
いて座	いて座 ♐️
どうが	どうが 🎦 📹️ 📼
どうき	どうき 💓
くらくら	くらくら 💫 💫 😵‍💫 😵‍💫
どうぎ	どうぎ 🥋
自転車	自転車 🚲️ 🚳 🚴 🚴‍♀️ 🚵 🚵‍♀️ 🚵‍♂️
さーかす	さーかす 🎪
あっぷる	あっぷる 🍎 🍏
気持ち	気持ち 🩷
アシカ	アシカ 🦭
あちゃー	あちゃー 🤦 🤦 🤦‍♀️ 🤦‍♀️ 🤦‍♂️ 🤦‍♂️
ちーずふぉんでゅ	ちーずふぉんでゅ 🫕
しゅどうしきくるまいす	しゅどうしきくるまいす 🦽
旅行	旅行 ✈️ 🧳
直定規	直定規 📏
バケツ	バケツ 🪣
ドルフィン	ドルフィン 🐬
rv	rv 🚙
すごいね	すごいね 😯 😯
お寿司	お寿司 🍣
不吉	不吉 🐈‍⬛
ねくたい	ねくたい 👔
えびふらい	えびふらい 🍤
かいそくてい	かいそくてい 🚤
しねま	しねま 🎞️ 🎥
てれてれ	てれてれ 😌
ぼぶすれー	ぼぶすれー 🛷
どうろ	どうろ ⛔️ 🚫 🚳 🚷 🛣️
スロバキア	スロバキア 🇸🇰
でぃすく	でぃすく 💾 💿️ 📀
どうわ	どうわ 🧚
青いハート	青いハート 💙
でぃすこ	でぃすこ 🪩
じょうざん	じょうざん ✖️ ❌️ ❎️
酒	酒 🍶
靴下	靴下 🧦
sl	sl 🚂
ハンガリー	ハンガリー 🇭🇺
小型飛行機	小型飛行機 🛩️
城（ヨーロッパ）	城（ヨーロッパ） 🏰
ぱっけーじ	ぱっけーじ 📦️
金時豆	金時豆 🫘
女の吸血鬼	女の吸血鬼 🧛‍♀️
遊具	遊具 🛝
えいびーしー	えいびーしー 🔤
3時半	3時半 🕞️
さいくりんぐ	さいくりんぐ 🚲️ 🚴 🚴‍♀️ 🚴‍♂️ 🚵 🚵‍♀️ 🚵‍♂️
ひろいん	ひろいん 🦸 🦸‍♀️
美術館	美術館 🎨 🖼️
たっきゅうびん	たっきゅうびん 📦️
パキスタン	パキスタン 🇵🇰
ページャー	ページャー 📟️
おめでとう	おめでとう ㊗️ ㊗️ 👏 👏 🥳 🥳
ふえ	ふえ 🥳 🪈
しょうとつ	しょうとつ 💥
ふか	ふか 🐣
南京錠	南京錠 🔏 🔐 🔒️ 🔓️
サックス	サックス 🎷
潮吹き	潮吹き 🐳
はくじょう	はくじょう 🦯
ふく	ふく 👔 👕 👖 👗 👘 👙 👚 👠 👡 👢 🥻 🥼 🧥
ふぐ	ふぐ 🐡 🐡
to	to 📠 📩 📲
どうしよう	どうしよう 😥 😥
しちゅー	しちゅー 🍲
ロードバイク	ロードバイク 🚴
ひだりうえやじるし	ひだりうえやじるし ↖️
巻き物	巻き物 📜
かうがーる	かうがーる 🤠
なみびあ	なみびあ 🇳🇦
上向きカーブ矢印	上向きカーブ矢印 ⤴️
ユニコーン	ユニコーン 🦄
ちぇすのこま	ちぇすのこま ♟️
うずべきすたん	うずべきすたん 🇺🇿
未成年	未成年 🔞
きんめだる	きんめだる 🏅 🥇
ちゃき	ちゃき 🫖
ふっ	ふっ 😏 😏 😼 😼
左カーブ矢印	左カーブ矢印 ↪️
ふで	ふで 🎨
金	金 🏅 🥇
ギャンブル	ギャンブル 🎰
ダビデ	ダビデ 🔯
ふる	ふる 🪇
ふぁくとりー	ふぁくとりー 🏭️
もうやだ～（悲しい顔）	もうやだ～（悲しい顔） 😖
ふろ	ふろ 🚿 🛀 🛁 🧼
ごむぞうり	ごむぞうり 🩴
ふね	ふね ⚓️ ⛴️ ⛵️ 🚢 🚣 🚣‍♀️ 🚣‍♂️ 🚤 🛥️ 🛳️ 🛶
びょうき	びょうき 💉 💊 😵 😷 🤒 🤢 🤮 🦟 🩺
up	up 🆙
せんとびんせんとおよびぐれなでぃーんしょとう	せんとびんせんとおよびぐれなでぃーんしょとう 🇻🇨
かちく	かちく 🐄 🐎 🐐 🐑 🐖
女性のスーパーヒーロー	女性のスーパーヒーロー 🦸‍♀️
ぼんやり	ぼんやり 😶‍🌫️ 😶‍🌫️
男性の芸術家	男性の芸術家 👨‍🎨
棺桶	棺桶 ⚰️
バリアフリー	バリアフリー ♿️ 🛗
針	針 💉 🪡 🪼
くまのかお	くまのかお 🐻
みーとぱい	みーとぱい 🥧
西	西 ⬅️
グラフ上向き	グラフ上向き 📈
生物学者	生物学者 🧑‍🔬 🧫 🧬
つつむて	つつむて 🤲
セウタ・メリリャ	セウタ・メリリャ 🇪🇦
ちゃど	ちゃど 🇹🇩
じゅわき	じゅわき 📞
たーばんのだんせい	たーばんのだんせい 👳‍♂️
水牛	水牛 🐃
かんせつ	かんせつ 🏔️
Cまーく	Cまーく ©️
角	角 👿 😈
こうちゃ	こうちゃ ☕️
ふくろ	ふくろ 👝
こうもり	こうもり 🦇 🦇
れゆにおん	れゆにおん 🇷🇪
9じ30ふん	9じ30ふん 🕤️
徹夜	徹夜 🫩
vs	vs 🆚
おうとするかお	おうとするかお 🤮
ミートパイ	ミートパイ 🥧
手をつなぐ	手をつなぐ 🧑‍🤝‍🧑
じてんしゃきんし	じてんしゃきんし 🚳
はくじょうをついただんせい	はくじょうをついただんせい 👨‍🦯 👨‍🦯‍➡️
プール	プール 👙
ようせい	ようせい 🧚 🧚‍♀️ 🧚‍♂️ 🧝
ろーしょんぼとる	ろーしょんぼとる 🧴
きんにく	きんにく 💪
指定席	指定席 🈯️
風船	風船 🎈
スイムウェア	スイムウェア 🩱 🩲 🩳
買い物	買い物 🛒
さむあっぷ	さむあっぷ 👍️
こーひー	こーひー ☕️
はねかえり	はねかえり 🪃
うえゆびさし	うえゆびさし ☝️
なまがき	なまがき 🦪
感嘆符疑問符	感嘆符疑問符 ⁉️
鈴	鈴 🎐 🔔 🔕
知らない	知らない 🤷 🤷‍♀️ 🤷‍♂️
カプセル	カプセル 💊
ななじ	ななじ 🕖️
雨時々晴れ	雨時々晴れ 🌦️
ビールジョッキ	ビールジョッキ 🍺
おだいり様	おだいり様 🎎
フラッシュ	フラッシュ 📸
銀	銀 🥈
はーと	はーと ♥️ ❣️ ❤️ ❤️‍🔥 ❤️‍🩹 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💌 💏 💑 💓 💔 💕 💖 💗 💘 💙 💚 💛 💜 💝 💞 💟 🖤 😍 😘 😻 🤍 🤎 🥰 🧡 🩵 🩶 🩷 🫶
フォルダ１（閉）	フォルダ１（閉） 📁
銃	銃 🔫
鉤	鉤 🪝 🪝
銅	銅 🥉
鉛筆	鉛筆 ✏️ 📝
いぬのかお	いぬのかお 🐶
ようせつ	ようせつ 👨‍🏭 👩‍🏭 🥽
だんしといれ	だんしといれ 🚹️
なると	なると 🍥 🍥
はーぶ	はーぶ 🌿 🫚
はーぷ	はーぷ 🪉
よだれをたらしたかお	よだれをたらしたかお 🤤
野球場	野球場 🏟️
大人二人と子供一人の家族	大人二人と子供一人の家族 🧑‍🧑‍🧒
立っている	立っている 🧍
コントローラ	コントローラ 🎮️ 🕹️
ぺーじゃー	ぺーじゃー 📟️
コントロール	コントロール 🎛️
女性の芸術家	女性の芸術家 👩‍🎨
ケバブサンド	ケバブサンド 🥙
門松	門松 🎍
OKの手	OKの手 👌
ごりら	ごりら 🦍
たいふう	たいふう 🌀
みぎむきにおしているて	みぎむきにおしているて 🫸
DNA	DNA 🧬
教会	教会 ⛪️ 💒 🔔
みみず	みみず 🪱
じゅうりょうあげをするおんな	じゅうりょうあげをするおんな 🏋️‍♀️
てにすしゅーず	てにすしゅーず 👟
ジブチ	ジブチ 🇩🇯
スキューバ	スキューバ 🤿 🥽
そくてんするひと	そくてんするひと 🤸
荷札	荷札 🏷️
パラボラ	パラボラ 📡
とざん	とざん 🧗 🧗‍♀️ 🧗‍♂️
待った	待った 🫷 🫸
筋トレ	筋トレ 🏋️ 💪
